,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1876,GEG,HM,HL,,1," s)r. A. Ahlquist|, Professor d. finnischen Sprache in Helsingfors. 
"
2,1876,GEG,HM,HL,,2,"  Woldemar Graf  von dem Broel -P later |.  
"
3,1876,GEG,HM,HL,,3,"  Theodor  Baron Bühle r|,  Geheimrath,  Di rec-tor des Haupt-Staatsarchivs des Ministerium der auswärtigen Angelegenheiten in Moskau. 
"
4,1876,GEG,HM,HL,,4,"  Kar l  Cröger| ,  em. Lehrer  der  Schmidt 'schen Anstalt in Fellin. 
"
5,1876,GEG,HM,HL,,5," I)r. C. Grewingk|, Professor der Mineralogie in Dorpat. 
"
6,1876,GEG,HM,HL,,6," vr. P. I. Karell|, Leibarzt und Geheimrath, in St. Petersburg. 
"
7,1876,GEG,HM,HL,,7," vr. Alexander Graf Keyserling|, Hofmei­ster, arff Raiküll in Estland. 
"
8,1876,GEG,HM,HL,,8," E. Kuink|, Akademiker, in St. Petersburg. 
"
9,1876,GEG,HM,HL,,V," vr. Fr. A. Kreutzwald| in Werro. 
"
10,1876,GEG,HM,HL,,1V," vr. E. Lönnrot|, Professor in Helsingfors. 
"
11,1876,GEG,HM,HL,,11," A. A. Ssoburosf|, Wirkl. Staatsrath, Curator des Dörptfüen Lehrbezirks. 
"
12,1876,GEG,HM,HL,,12," Lauä. A. Schwabe| in Reval. 
"
13,1876,GEG,HM,HL,,13," Carl Graf Sievers| in Wenden. 
"
14,1876,GEG,HM,HL,,14," W. v. Stryk|, Landrath, auf Brinckenhof. 
"
15,1876,GEG,HM,HL,,15," F. I. Wiedemann|, Geheimrath, Akademiker in St. Petersburg. 
"
16,1876,GEG,HM,AB,,Z6," vr. Fr. G. von Bunge|, Wirkl. Staatsrath in Gotha. 
"
17,1876,GEG,HM,AB,,17," vr. C. A. Herrmann|, Prof. der Geschichte in Marburg. 
"
18,1876,GEG,HM,AB,,18," vr. Paul Hunsalvy|, Akademiker in Pest. 
"
19,1876,GEG,HM,AB,,19," vr. A. F. Pott|, Professor der allgemeinen Sprachwissenschaft in Halle. 
"
20,1876,GEG,HM,AB,,20," vr. W. Schott|, Professor der philosophischen Facultät in Berlin. 
"
21,1876,GEG,HM,AB,,21," vr. C. Schirren|, Professor der Geschichte in Kiel. 
"
22,1876,GEG,HM,AB,,22," vr. E. A. Winkelmann|, Professor der Ge« schichte in Heidelberg. 
"
23,1876,GEG,OM,HL,IN,1," AsA. Paul Alexejew|, Professor der Theo­logie für die Stud. orthod. - griech. Confefsion, Protohierei. 
