,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1921,GEG,HM,HL,,1,"  K u r a t o r  P r o f e s s o r  P. Põld, 1920. — 
"
2,1921,GEG,HM,AB,,2," Dr. Hermann v. В r u i ningk in Riga, 1887; 
"
3,1921,GEG,HM,AB,,3," Dr. Adalbert Bezzenberger ProL in Königsberg, 1894; 
"
4,1921,GEG,HM,AB,,4," Stadtarchivar Mag. Arnold Peuereisen in Riga, 1920; 
"
5,1921,GEG,HM,AB,,5," Friedrich v. Keussler in Greifswald, 1920; 
"
6,1921,GEG,HM,AB,,6," Reichsantiquar Prof. Oskar Montelius in Stockholm, 1920; 
"
7,1921,GEG,HM,AB,,7," Prof. Dr. Emil Setälä in Helsingfors, 1920; 
"
8,1921,GEG,HM,AB,,8," Wilhelm Thomsen in Kopenhagen, 1887; 
"
9,1921,GEG,HM,AB,,9," Gräfin Praskowja Sserge-jewna Uwarow in Moskau, 1887. 
"
10,1921,GEG,CM,HL,,1,"  P r o f .  Dr. Eduard Berendts in Dorpat, 1899 ; 
"
11,1921,GEG,CM,HL,,2," Prof. Dr. Alexander Rosenberg in Dorpat, 1896; 
"
12,1921,GEG,CM,HL,,3," Leo v. Si ver s Alt-Kusthof, 1902; 
"
13,1921,GEG,CM,HL,,4," Alexander v. S i v e r s Rappin, 1920; 
"
14,1921,GEG,CM,HL,,5," Oberlehrer Arthur Spreckelsen in Reval, 1908; 
"
15,1921,GEG,CM,HL,,6," Prof. A. M. Tall gren zu Dorpat. 1920. — 
"
16,1921,GEG,CM,AB,,7," Lord John Abercromby in Edinburg, 1900; 
"
17,1921,GEG,CM,AB,,8," Dr. Julius Ai Ii о 1920; 
"
18,1921,GEG,CM,AB,,9," Dr. Hjalmar Appelgren in »Helsingfors, 1901; 
"
19,1921,GEG,CM,AB,,10," Prof. Max Boehm in Berlin, 1911; 
"
20,1921,GEG,CM,AB,,11," Stadtbibliothekar Nik. Busch in Riga, 908; 
"
21,1921,GEG,CM,AB,,12," Senator Domenico Comparetti in Florenz, 1902, 
"
22,1921,GEG,CM,AB,,13," Oberlehrer Eugen Filar etow in Mitau, 1910; 
"
23,1921,GEG,CM,AB,,14," Konrad v. Gersdorff auf Hochrosen, 1889; 
"
24,1921,GEG,CM,AB,,15," Dr. Josef Girgensohn in Frankfurt a. M., 1887; 
"
25,1921,GEG,CM,AB,,16," Dr. Reinhold Hausen in Helsingfors, 1883; 
"
26,1921,GEG,CM,AB,,17," Dr. Axel Heikel in Hel­singfors, 1887; 
"
27,1921,GEG,CM,AB,,18," Direktor Bernhard Hollander (früher in Riga), 1908; 
"
28,1921,GEG,CM,AB,,19," Hçinrich Kemke, Custos am Prussia-Museum zu Königsberg, 1900 ; 
"
29,1921,GEG,CM,AB,,20," Pastor Konstantin v. Kügelgen zu Chemnitz, 1896; 
"
30,1921,GEG,CM,AB,,21," Prof. Paolo Pavolini in Florenz, 1902; 
"
31,1921,GEG,CM,AB,,22," Prof. Theodor Schiemann in Berlin, 1887; 
"
32,1921,GEG,CM,AB,,23," Dr. med Alfred Schneider (früher in Trikaten), 1893; 
"
33,1921,GEG,CM,AB,,24," Prof. Wilh. Stieda in Leipzig, 1882; 
"
34,1921,GEG,CM,AB,,25," Prof. Emilio Teza in Padua, 1902. 
"
35,1921,GEG,OM,HL,IN,1," *Aawik, Joh., Privatdozent; 
"
36,1921,GEG,OM,HL,IN,2," v. Akerman, Arthur; 
"
37,1921,GEG,OM,HL,IN,3," Anderson, Walter, Pro­fessor; 
"
38,1921,GEG,OM,HL,IN,4," *Bach, Einil, Oberlehrer; 
"
39,1921,GEG,OM,HL,IN,5," Baumann, Pärtel, Dozent; 
"
40,1921,GEG,OM,HL,IN,6," v. Berg, Herrn., Oberlehrer; 
"
41,1921,GEG,OM,HL,IN,7," Bergman, Joh., Professor; 
"
42,1921,GEG,OM,HL,IN,8," Bettac, F., Lektor; 
"
43,1921,GEG,OM,HL,IN,9," Bokownew, René, Kaufmann; 
"
44,1921,GEG,OM,HL,IN,10," v. Bul-Imerincq, Alex., Professor; 
"
