,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1895,GGuA,HM,,,1," Wirkl. Staatsrath Dr. Friedrich Georg v. Bunge, Wiesbaden. 1859. 
"
2,1895,GGuA,HM,,,2," Professor Dr. Carl Schirren, Kiel. 1862. 
"
3,1895,GGuA,HM,,,3," Wirkl. Staatsrath Dr. jur. August v. Oettingen, Riga. 1866. 
"
4,1895,GGuA,HM,,,4," Wirkl. Staatsrath Dr. Ernst Kunik, Mitglied der Kaiserlichen Akademie der Wissenschaften zu St. Pe­tersburg. 1869. 
"
5,1895,GGuA,HM,,,5," Pastor Dr. August Bielenstein, Doblen in Kurland. 1869. 
"
6,1895,GGuA,HM,,,6," Geheimrath Graf Emmerich Hutten-Czapski auf Stankow, Gouv. Minsk. 1870. 
"
7,1895,GGuA,HM,,,7," Wirkl. Geheimrath Baron Theodor Bühler, Director des Hauptstaatsarchivs des Ministeriums der auswärtigen Angelegenheiten zu Moskau. 1875. 
"
8,1895,GGuA,HM,,,8," Geheimer Medicinalrath Professor Dr. Rudolf Vir-chow, Berlin. 1877. 
"
9,1895,GGuA,HM,,,9," Wirkl. Staatsrath Professor Dr. Leo Meyer, Jurjew (Dorpat). 1884. 
"
10,1895,GGuA,HM,,,10," Dr. Friedrich Bienemann sen., Freiburg i. Br. 1884. 
"
11,1895,GGuA,HM,,,11," Wirklicher Geheimrath Afanassi Fedorowitsch Bytschkow, Director der Kaiserlichen öffentlichen Bibliothek zu St. Petersburg. 1884. 
"
12,1895,GGuA,HM,,,12," Geheimer Hofrath Professor Dr. Eduard Winkel­mann, Heidelberg. 1884. 
"
13,1895,GGuA,HM,,,13," Königl. schwedischer Reichsarchivar a. D. Dr. Carl Gustaf Malmström, Stockholm. 1884. 
"
14,1895,GGuA,HM,,,14," Staatsrath Dr. Eugen v. Nottbeck, Reval. 1894. 
"
15,1895,GGuA,HM,,,15," Gräfin Praskowja Sergejewna Uwarow, Präsi­dent der Kaiserlichen archäologischen Gesellschaft zu Moskau. 1894. 157 
"
16,1895,GGuA,HM,,,16," Dr. Stanislaus Smolka, Generalsecretair der Aka­demie der Wissenschaften zu Krakau. 1894. 
"
17,1895,GGuA,HM,,,17," Wirkl. Staatsrath Professor Dr. Richard Hausmann, Jurjew (Dorpat). 1895. Derzeitiges Mitglied des Direc-toriums der Gesellschaft. 
"
18,1895,GGuA,PM,,,1," Geheimrath Graf Bmanuel Sievers, Oberhofmeister des Kaiserl. Hofes und Senateur, auf Schloss Wenden in Livland. 1856. 
"
19,1895,GGuA,CM,,,1," Professor Dr. Carl Lohmeyer, Königsberg. 1862. 
"
20,1895,GGuA,CM,,,2," Geh. Regierungsrath Dr. Julius v. Eckardt, kaiserl. deutscher Generalconsul in Stockholm. 1868. 
"
21,1895,GGuA,CM,,,3," Wirkl. Staatsrath Julius I versen, St. Petersburg. 1872. 
"
22,1895,GGuA,CM,,,4," Professor Dr. Konstantin Höhl bäum, Giessen. 1873. 
"
23,1895,GGuA,CM,,,5," Staatsarchivar a. D. Rudolf Philippi. 1876. 
"
24,1895,GGuA,CM,,,6," Stadtarchivar Dr. Karl Koppmann, Rostock. 1876. 
"
25,1895,GGuA,CM,,,7," Professor Dr. Goswin Freiherr von der Ropp, Marburg. 1876. 
"
26,1895,GGuA,CM,,,8," Professor Dr. Georg Dehio, Königsberg. 1877. 
"
27,1895,GGuA,CM,,,9," Dr. Martin Perlbach, Custos au der Universitäts-Bibliothek zu Halle a. d. Saale. 1877. 
"
28,1895,GGuA,CM,,,10," Dr. William xVlollerup, Kopenhagen. 1881. 
"
29,1895,GGuA,CM,,,11," Königl. schwedischer Reichsheraldiker Major Karl Arved v. Klingspor, Upsala. 1883. 
"
30,1895,GGuA,CM,,,12," Oberlehrer Heinrich Diederichs, Mitau. 1884. 
"
31,1895,GGuA,CM,,,13," Universitätsarchitekt Reinhold Guleke, Jurjew (Dorpat). 1884. 
"
32,1895,GGuA,CM,,,14," Professor Dr. Theodor Scliiemann, Berlin. 1884. 
"
