,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1873,GEG,HM,HL,,1," Dr. K. E. v. Baer,| Geheimrath, in Dorpat. 
"
2,1873,GEG,HM,HL,,2," Dr. A. Buchholtz| in Riga. 
"
3,1873,GEG,HM,HL,,3," Dr. C. Grewingk,| Professor der Mineralogie in Dorpat. 
"
4,1873,GEG,HM,HL,,4," Dr. P. I. Karell,| Leibarzt und Geheimrath in Petersburg. 
"
5,1873,GEG,HM,HL,,5," Dr. Alexander Graf Keyserling.| Hof-meister, auf Raiküll in Estland. 
"
6,1873,GEG,HM,HL,,6," E. Kunik,| Akademiker in Petersburg. 
"
7,1873,GEG,HM,HL,,7," Dr. Fr. A. Kreutzwald| in Werro. 
"
8,1873,GEG,HM,HL,,8," Dr. E. Lönnrod,| Professor in Helsingfors. 
"
9,1873,GEG,HM,HL,,9," H. 91 e u 8,| dimitt. Schulinspector in Reval. 
"
10,1873,GEG,HM,HL,,10," Cand. A. Schwabe| in Dorpat. 
"
11,1873,GEG,HM,HL,,11," W. v. Stryk,| Landrath, auf Brinckenhof. 
"
12,1873,GEG,HM,HL,,12," R. Baron Toll,| Landrath, auf Kuckers. 
"
13,1873,GEG,HM,HL,,13," F. I. Wiedemann,| Akademiker in Petersburg. 
"
14,1873,GEG,HM,AB,,14," Dr. Fr. G. von Bunge,| wirkl. Staatsrath in Gotha. 
"
15,1873,GEG,HM,AB,,15," Dr. C. A. Herrmann,| Professor der Geschichte in Marburg. 
"
16,1873,GEG,HM,AB,,16," Dr. Paul Hunfalvy,| Akademiker in Pest. 
"
17,1873,GEG,HM,AB,,17," Dr. A. F. Pott,| Professor der allgemeinen Sprachwissenschaft in Halle. 
"
18,1873,GEG,HM,AB,,18," Dr. W. Schott.| Professor der philosophischen Facultät in Berlin. 
"
19,1873,GEG,HM,AB,,19," Dr. C. Schirren,| ehem. Professor der Tor-pater Universität, in Dresden. 
"
20,1873,GEG,HM,AB,,20," Pater Theiner| in Rom. 
"
21,1873,GEG,HM,AB,,21," Dr. F. I. Wincke 1 mann,| Professor der Ge-schichte in Bern. 
"
22,1873,GEG,OM,HL,IN,1," Mag. Paul Alexejew,| Professor der Theo-logie für die ©tut"
23,1873,GEG,OM,HL,IN,2," Dr. Theodor Beise,| dimitt. Syndicus der Universität, Staatsrath. 
"
24,1873,GEG,OM,HL,IN,3," Dr. Alexander Brückner.| Professor der Ge-schichte Rußlands. 
"
25,1873,GEG,OM,HL,IN,4," G. Blumberg,| Gymnasiallehrer. 
"
26,1873,GEG,OM,HL,IN,5," Christoph Serens,| stud. jur. 
"
27,1873,GEG,OM,HL,IN,6," Hermann Baron Bruiningk.| 
"
28,1873,GEG,OM,HL,IN,7," Dr. B. Brunner,| Secretär der Kais. livl. ökon. Societät. 
"
29,1873,GEG,OM,HL,IN,8," Alexander Buchholtz,| stud. jur. 
"
30,1873,GEG,OM,HL,IN,9," Constantin Baron Budberg,| dim. Oberst. 
"
31,1873,GEG,OM,HL,IN,10," Dr. Th. Clausen,| Prof.emerit. d. Astronomie. 
"
32,1873,GEG,OM,HL,IN,11," H. Clemenz,| stellv.Leetor d. lettischen Sprache. 
"
33,1873,GEG,OM,HL,IN,12," A. v. Dehn,| Landgerichtssecretär. 
"
34,1873,GEG,OM,HL,IN,13," A. Dieckhoff,| stud. oec. pol. 
