,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1900,GEG,HM,HL,,1," Mag. Nik. Anderson, Professor in Kasan (1892) 
"
2,1900,GEG,HM,HL,,2," I. R. Afpelin, Staats-Archäolog in Helsingfors (1887) 
"
3,1900,GEG,HM,HL,,3," Dr. August B i e l e n st e i n, Pastor in Doblen (1887) 
"
4,1900,GEG,HM,HL,,4," Baron Hermann v. Bruiningk, Ritter-schafts-Secretär in Riga (1887) 
"
5,1900,GEG,HM,HL,,5," Woldemar Graf von dem Broel - Platerauf Dombrowitzain Wolhynien(1876) 
"
6,1900,GEG,HM,HL,,6," Dr. phil. Anton Buchholtz in Riga. 
"
7,1900,GEG,HM,HL,,7," Dr. Richard Hausmann, Prof. emer. (1871, resp. 1896) 
"
8,1900,GEG,HM,HL,,8," Dr. Jak. Hurt, Pastor in St. Petersburg (1887) 
"
9,1900,GEG,HM,HL,,9," Dr. Georg Alexander, Herzog zu Mecklenburg-Strelitz,inSt. Pe-tersburg (1888) 
"
10,1900,GEG,HM,HL,,10," Dr. Friedrich Baron Me Yendorff, Livländifcher Landmarschall (1887) 
"
11,1900,GEG,HM,HL,,11," Rudolph Raison, Pastor emeritus, in Lassen, Kurland 
"
12,1900,GEG,HM,HL,,12," I. Sabjelin, Director des Moskauer Museums (1887) 
"
13,1900,GEG,HM,HL,,13," Andrei Alexandrowitsch Ssaburow, Staatssecretär und Senateur, Mitglied des Reichsraths, in St. Petersburg (1876) 
"
14,1900,GEG,HM,HL,,14," Iwan Graf Tolstoi, in St. Petersburg (1882) 
"
15,1900,GEG,HM,HL,,15," Gräfin Prasskowja Uwarow, Präsident der Moskauer Archäologischen Gesellschaft (1887). 
"
16,1900,GEG,HM,AB,,16," Dr. Adalbert Bezzenberger, Prof. in Königsberg (1894) 
"
17,1900,GEG,HM,AB,,17," Hermann Dannenberg, Landgerichts­rath in Berlin (1887) 
"
18,1900,GEG,HM,AB,,18," Dr. Georg Loeschcke, Professor in Bonn (1889) 
"
19,1900,GEG,HM,AB,,19," Dr. Leo Meyer, Professor honor. in Göttingen (1866 resp. 1894) 
"
20,1900,GEG,HM,AB,,20," Dr. Carl Schirren, Professor in Kiel (1869) 
"
21,1900,GEG,HM,AB,,21," Dr. Leop. v. Schroeder, Pros, in Wien (1894) 
"
22,1900,GEG,HM,AB,,22," Dr. Ludwig Stieda, Pros, in Königs-berg (1885) 
"
23,1900,GEG,HM,AB,,23," Dr. Wilhelm Thomsen, Pros, in Ko-penhagen (1887). 
"
24,1900,GEG,CM,HL,,1," Friedrich Amelung, Fabrikbesitzer in Katharina-Lisette (1887) 
"
25,1900,GEG,CM,HL,,2," Dr. Eduard Berendts, Professor in St. Petersburg. 
"
26,1900,GEG,CM,HL,,3," Anton v. Mierzynski, Wirkt Staats­rath in Warschau (1876) 
"
27,1900,GEG,CM,HL,,4," G. o. B l a n ck e n h a g e n auf Weißen-stein bei Wenden (1889) 
"
28,1900,GEG,CM,HL,,5," Frau v. Blanckenhagen, geb. Baro-nesse Maydell, zu Allasch (1889) 
"
29,1900,GEG,CM,HL,,6," Carl Boy, Oberlehrer (1896) 
"
30,1900,GEG,CM,HL,,7," Dr. med. Max Buch in Wilmanstrand (1882) 
"
31,1900,GEG,CM,HL,,8," E. Dolbeschew, Oberlehrer in Wla-dikawkas (1885) 
"
32,1900,GEG,CM,HL,,9," Dr. O. Donner, Proscssor der vergl. Sprachwissenschaft in Helsingfors (1865) 
"
33,1900,GEG,CM,HL,,10," Dr. Wladislaw Dybowsky in Minsk (1879) 
"
34,1900,GEG,CM,HL,,11," Heinrich Gernhardt zu Neu-Camby (1886) 
"
35,1900,GEG,CM,HL,,12," Konrad v. Gersdo r s s aus Hochrosen (1889) 
"
36,1900,GEG,CM,HL,,13," Christian Giel, Numismatikcr in St. Petersburg (1886) 
"
37,1900,GEG,CM,HL,,14," Dr. Reinhold .bansen in Helsingsors (1883) 
"
38,1900,GEG,CM,HL,,15," Dr. A. O. Heikel in Helsingsors (1887) 
"
39,1900,GEG,CM,HL,,16," Ad. v. H o f m a n n in Gertrudenhos (1894) 
"
40,1900,GEG,CM,HL,,17," W. I 1 o w a i s k i, Professor in Moskau (1881) 
"
41,1900,GEG,CM,HL,,18," Mag. Edwin Iohannson in Riga (1883) 
"
42,1900,GEG,CM,HL,,19," Dr. Oskar Stenn, Director der Ce-ment-Fabrik in Noworossiisk (1894) 
"
43,1900,GEG,CM,HL,,20," Konstantin Mettig, Jnspector an der Realschule in Riga (1887) 
"
44,1900,GEG,CM,HL,,21," Dr. W. Neumann, Architekt in Riga (1890) 
"
45,1900,GEG,CM,HL,,22," Dr. Radloff, Akademiker in St. Pe-tersbnrg (1860) 
"
46,1900,GEG,CM,HL,,23," Alex. Rodenberg, Pros. emer. (1896) 
"
47,1900,GEG,CM,HL,,24," Dr. med. Johannes (öachssendahl (1887) 
"
48,1900,GEG,CM,HL,,25," Dr. med. Alfred Schneider zu Lubben-Hof (1893) 
"
49,1900,GEG,CM,HL,,26," Dr. Emil Setülä, Professor in Heising-fors (1891) 
"
50,1900,GEG,CM,HL,,27," Mag. Nik. v. Seidlitz in Tiflis (1879) 
"
51,1900,GEG,CM,HL,,28," O. v. Seidlitz, Besitzer von Meyers-Hof (1887) 
"
52,1900,GEG,CM,HL,,29," Dr. Friedrich S chmidt, Akademiker in St. Petersburg (1859) 
"
53,1900,GEG,CM,HL,,30," E. v. ©ibers zu Autzeem (1889) 
"
54,1900,GEG,CM,HL,,31," Baron Wold. Tiesenhausen in St. Petersburg (1883) 
"
55,1900,GEG,CM,HL,,32," Baron Harald Toll, ehemal. Rittersch.-Secretär in Reval (1887) 
"
56,1900,GEG,CM,HL,,33," Mag. Wassilew in Pleskau. 
"
57,1900,GEG,CM,HL,,34," Nikolai Waldmann in Türsel bei Sil-lamäggi (1886) 
"
58,1900,GEG,CM,HL,,35," H. W ü h n e r in Kerimois (1863). 
"
59,1900,GEG,CM,AB,,36," Lord John A 6 e r c r o m 6 i) in Edinburgh 
"
60,1900,GEG,CM,AB,,37," Dr. phil. Friedrich Bienemann, Pro­fessor honor. in Freiburg (1865) 
"
61,1900,GEG,CM,AB,,38," Dr. Heinrich Bruns, Professor und Di-rector der Sternwarte in Leipzig (1876) 
"
62,1900,GEG,CM,AB,,39," Dr. Sophus Bugge, Prof. an der Uni­versität in Christiania (1876) 
"
63,1900,GEG,CM,AB,,40," Dr. Joseph Girgensohn, Oberlehrer zu Berlin (1887) 
"
64,1900,GEG,CM,AB,,41," Arthur Hazelius, Director des nordi-fchen Museums in Stockholm (1883) 
"
65,1900,GEG,CM,AB,,42," Dr. Konstantin Höhlbaum, Professor in Gießen (1887) 
"
66,1900,GEG,CM,AB,,43," Heinrich Kemke, Bibliothekar der Physika-lisch. Ökonomischen Gesellschaft in Königsberg 
"
67,1900,GEG,CM,AB,,44," Cand. Ernst Kluge, Mitglied des kgl. statist. Bureaus in Berlin (1865) 
"
68,1900,GEG,CM,AB,,45," Dr. Carl Koppmann, Archivar in Ro-stock (1876) 
"
69,1900,GEG,CM,AB,,46," Licent. theol. Constantin v. Kügelgen, z. Z. in Leipzig (1886, resp. 1896) 
"
70,1900,GEG,CM,AB,,47," Dr. Carl L o h m e y e r, Professor in Kö-nigsberg (1852) 
"
71,1900,GEG,CM,AB,,48," Frl. Julie M e st o r f, Professor, Conserva-tor des Museums in Kiel (1881) 
"
72,1900,GEG,CM,AB,,49," Dr. Oskar Montelius, Conservator am Reichs-Museum in Stockholm (1876) 
"
73,1900,GEG,CM,AB,,50," Dr. Theodor Nöldeke, Professor in Straßburg (1870) 
"
74,1900,GEG,CM,AB,,51," Dr. Joh. Rhys, Professor in Oxford (1875) 
"
75,1900,GEG,CM,AB,,52," Dr. Gustav Retzius, ehem. Professor an dem Carolinischen Institut in Stockholm (1876) 
"
76,1900,GEG,CM,AB,,58," Dr. Franz Rühl, Professor in Königs-berg (1876) 
"
77,1900,GEG,CM,AB,,54," Dr. Oskar Schade, Prof. in Königsberg (1867) 
"
78,1900,GEG,CM,AB,,55," Dr. Wilhelm Stieda, Prof. in Leipzig (1882) 
"
79,1900,GEG,CM,AB,,56," Dr. Beruh. S u p h a n , Prof. in Weimar (1876) 
"
80,1900,GEG,CM,AB,,57," Dr. Theodor Schiemann, Professor in Berlin (1887) 
"
