,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1910,GEG,HM,HL,,1," Dr. J. R. A s p 1 і n, Professor und Staats-Archäolog in Hel­singfors (1887). 
"
2,1910,GEG,HM,HL,,2," Woldemar Graf von dem Broel-Plater auf Dombrowitza in Wolhynien (1876). 
"
3,1910,GEG,HM,HL,,3," Baron Hermann v. Bruiningk in Riga (1887). 
"
4,1910,GEG,HM,HL,,4," Prof. Dr. jur. Johannes Engelmann (1861. resp. 1910). 
"
5,1910,GEG,HM,HL,,5," Dr. Richard Hausmann, Prof. emer. in Dorpat (1871, resp. 1896). 
"
6,1910,GEG,HM,HL,,6," Dr. Friedrich Baron Meyendorff, Landrat in Riga (1887). 
"
7,1910,GEG,HM,HL,,7," Andrei Alexandrowitsch Ssaburow, Staatssekretär und Se-nateur, Mitglied des Reichsrats, in St. Petersburg (1876). 
"
8,1910,GEG,HM,HL,,8," Iwan Iwanowitsch Graf Tolstoi, Vice - Präsident der Aka­demie der Kunste, in St. Petersburg (1882). 
"
9,1910,GEG,HM,HL,,9," Gräfin Prasskowja Sergejewna U w а г о w a, Präsident der Moskauer Archäologischen Gesellschaft (1887). 
"
10,1910,GEG,HM,AB,,10," Dr. Adalbert Bezzenberger, Prof. iii Königsberg (1894). 
"
11,1910,GEG,HM,AB,,11," Dr. Georg Loeschcke, Prof. in Bonn (1899). xxv 
"
12,1910,GEG,HM,AB,,12," Dr. Leopold v. Schroeder, Prof. in Wien (1894). 
"
13,1910,GEG,HM,AB,,13," Dr. Ludwig S t i e d a , Prof. in Königsberg (1864 resp. 1885). 
"
14,1910,GEG,HM,AB,,14," Dr. Wilhelm Thomsen, Prof. in Kopenhagen (1887). 
"
15,1910,GEG,CM,HL,,1," Dr. Hjalmar Appelgren, Konservator des Archäologischen Museums in Helsingfors (1901). 
"
16,1910,GEG,CM,HL,,2," Dr. Eduard Berendts, Professor an der Kaiserlichen Rechts­schule in St. Petersburg (1899). 
"
17,1910,GEG,CM,HL,,3," Gottlieb v. Blanckenhagen auf Weissenstein bei Wenden (1889). 
"
18,1910,GEG,CM,HL,,4," Frau Elisabeih v. Blanckenhagen, geb. Baronesse May­dell, zu Allasch (1889). 
"
19,1910,GEG,CM,HL,,5," Dr. med. Max Buch in Helsingfors (1882). 
"
20,1910,GEG,CM,HL,,6," Cand. hist. Nikolai Busch, Stadtbibliothekar in Riga (1889, resp. 1908). 
"
21,1910,GEG,CM,HL,,7," Titus Christiani, Stadtarchivar in Dorpat (1886, resp. 1903). 
"
