,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1887,GGuA,HM,,,1," Mitglied des Reichsraths wirkl. Geheimrath Georg V. Brevem, St. Petersburg. 1859. 
"
2,1887,GGuA,HM,,,2," Wirkl. Staatsrath Dr. Friedrich Georg v. Bunge, Wiesbaden. 1859. 
"
3,1887,GGuA,HM,,,3," Mitglied des Reichsraths Staatssecretair wirkl. Geheim-rath Graf Peter Alexandrowitsch Walujew, St. Petersburg. 1861. 
"
4,1887,GGuA,HM,,,4," Professor Dr. Carl Schirren, Kiel. 1862. 
"
5,1887,GGuA,HM,,,5," Mitglied des Reichsraths Generaladjutant General der Cavallerie Graf Peter Andrejewitsch Schuwalow. 1865. 
"
6,1887,GGuA,HM,,,6," Stadthaupt Dr. August v. Oettingen, Hofmeister des kaiserl. Hofes, Riga. 1866. 
"
7,1887,GGuA,HM,,,7," Hofmeister des kaiserl. Hofes Dr. Graf Alexander Keyserl ing auf Raiküll in Estland. 1866. 
"
8,1887,GGuA,HM,,,8," Wirkl. Staatsrath Dr. Ernst Kunik, Mitglied der kaiserl. Akademie der Wissenschaften zu St. Peters-burg. 1869. 
"
9,1887,GGuA,HM,,,9," Dr. August Bielenstein, Pastor zu Doblen in Kur-land. 1869. 
"
10,1887,GGuA,HM,,,10," Geheimrath Graf Emmerich Hutten-Czapski auf Stankow, Gouvernement Minsk. 1870. 
"
11,1887,GGuA,HM,,,11," Gjnnnasialdirector Dr. Max Toeppen in Elbing, West-preussen. 1874. 
"
12,1887,GGuA,HM,,,12," Wirkl. Geheimrath Baron Theodor Bühler, Director des Hauptstaatsarchivs des Ministeriums der auswärtigen Angelegenheiten zu Moskau. 1875. 
"
13,1887,GGuA,HM,,,13," Geheimer Medicinalrath Professor Dr. R u d o 1 fV i r c h o w, Berlin. 1877. 118 
"
14,1887,GGuA,HM,,,14," Dr. phil. Carl Bornhaupt , Riga. 1878. Derzeitiger Museumsinspector der Gesellschaft. 
"
15,1887,GGuA,HM,,,15," Wirkl. Staatsrath Dr. Eduard v. Haf fne r , Riga. 1879. 
"
16,1887,GGuA,HM,,,16," Consistorialrath Oberpastor emer. Dr. theol. et phil. Christian August Berkholz, Riga. 1884. 
"
17,1887,GGuA,HM,,,17," Wirkl. Staatsrath Professor Dr. Leo Meyer, Dorpat. 1884. 
"
18,1887,GGuA,HM,,,18," Redacteur Dr. F r i ed r i ch Bienemann, Leipzig, 1884. 
"
19,1887,GGuA,HM,,,19," Wirkl. Geheimrath Afanassi Fedorowitsch Bytsch-kow, Director der kaiserl. öffentlichen Bibliothek zu St. Petersburg. 1884. 
"
20,1887,GGuA,HM,,,20," Geheimer Hofrath Professor Dr. Eduard Winkel-mann, Heidelberg. 1884. 
"
21,1887,GGuA,HM,,,21," Dr. August Bssenwein, Director des germanischen Nationalmuseums zu Nürnberg. 1884. 
"
22,1887,GGuA,HM,,,22," Wirkl. Geheimrath Dr. Kurd v. Schlözer, königl. preussischer ausserordentlicher Gesandter und bevoll-mächtigter Minister bei der päpstlichen Curie, Rom. 1884. 
"
23,1887,GGuA,HM,,,23," Königl. schwedischer Reichsarchivar Dr. Carl Gustaf Malmström, Stockholm. 1884. 
"
24,1887,GGuA,PM,,,1," Dr. Wilhelm Brachmann, Heldrungen in der Provinz Sachsen. 1847. 
"
25,1887,GGuA,PM,,,2," Geheimrath Graf Emanuel Sievers, Oberhofmeister des kaiserl. Hofes und Senateur, auf Schloss Wenden in Livland. 1856. 
"
26,1887,GGuA,PM,,,3," Literat Reinhold Phi l ipp Schilling, Riga. 1869, 
"
27,1887,GGuA,PM,,,4," Paia v. Petrovic , Mitau. 1887. 
"
28,1887,GGuA,CM,,,1," Dr. Eduard v. Muralt, Lausanne. 1844. 
"
29,1887,GGuA,CM,,,2," Archivrath Freiherr Friedr. v. Medem, Homburg vor der Höhe. 1844. 119 
"
30,1887,GGuA,CM,,,3," Professor Dr. Richard Röpell, Breslau. 1847. 
"
31,1887,GGuA,CM,,,4," Staatsrath Ernst Friedr. Bonnell, Bibliothekar an der kaiserl. öffentlichen Bibliothek zu St. Petersburg, 1855. 
"
32,1887,GGuA,CM,,,5," Professor Dr. Kar l Lohmeyer, Königsberg. 1862.
"
33,1887,GGuA,CM,,,6," Maurycy Krupowicz, Secretair und Bibliothekar des Fürsten Bariatinski, Skierniewice bei Warschau. 1865. 
"
34,1887,GGuA,CM,,,7," Geh. Regierungsrath Dr. Julius v. Bckardt , kaiserl. deutscher Consul in Tunis. 1868. 
"
35,1887,GGuA,CM,,,8," Wirkl. Staatsrath Julius Iversen, St.Petersburg. 1872. 
"
36,1887,GGuA,CM,,,9," Professor Dr. Richard Hausmann, Dorpat. 1872. Derzeitiges Mitglied des Directoriums der Gesellschaft. 
"
37,1887,GGuA,CM,,,10," Professor Dr. Konstantin Höhlbaum, Stadtarchivar zu Köln. 1873. 
"
38,1887,GGuA,CM,,,11," Staatsarchivar a. D. Rudolf Phi l ippi , Königsberg. 1876. 
"
39,1887,GGuA,CM,,,12," Stadtarchivar Dr. Karl Koppmann, Rostock. 1876, 
"
40,1887,GGuA,CM,,,13," Dr. Goswin Fre iher r von der Ropp, Professor an der Universität zu Giessen. 1876. 
"
41,1887,GGuA,CM,,,14," Professor Dr. Georg Dehio, Königsberg. 1877. 
"
42,1887,GGuA,CM,,,15," Dr. Martin Perlbach, Custos an der Universitäts-bibliothek zu Halle a. d. Saale. 1877. 
"
43,1887,GGuA,CM,,,16," Dr. William Mollerup, Kopenhagen. 1881. 
"
44,1887,GGuA,CM,,,17," Gymnasialdirector Dr. K. E. H. Krause, Rostock. 1882. 
"
45,1887,GGuA,CM,,,18," Königl. schwedischer Reichsheraldiker Major Kar l Arved v. Klingspor , Upsala. 1883. 
"
46,1887,GGuA,CM,,,19," Oberlehrer Heinrich Diederichs, Mitau. 1884. 
"
47,1887,GGuA,CM,,,20," Universitätsarchitekt Reinhold Guleke, Dorpat. 1884. 
"
48,1887,GGuA,CM,,,21," Dr. Theodor Schiemann, Privatdocent an der Uni-versität Berlin. 1884. 
"
