,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1887,NVR,HM,,,1," 605. Berg, Karl, Dr. phil., Prof., in Buenos-Aires seit 1881 
"
2,1887,NVR,HM,,,2," 21. Buhse, Fr., Dr. phil, in Riga Stifter „ 1881 
"
3,1887,NVR,HM,,,3," 679. Dechen, wirkl. Geheimrat, Dr., in Bonn . . „ 1870 
"
4,1887,NVR,HM,,,4," 678. Dubois-Reymond, Professor, in Berlin . . „ 1870 
"
5,1887,NVR,HM,,,5," 680. Fresenius, R., Präses des naturhistor. Ver­eins, in Wiesbaden „ 1880 
"
6,1887,NVR,HM,,,6," 225. Gottfriedt, Moritz, Staatsrat, Oberlehrer, in Riga „ 1885 
"
7,1887,NVR,HM,,,7," 585. Keyserling, Graf, Alexander, Hofmeister, in Raiküll (Estl.) „ 1864 
"
8,1887,NVR,HM,,,8," 681. Kokscharow, W., Geheimr., Akadem.-Direktor des Bergkorps, in Petersburg .... „1870
"
9,1887,NVR,HM,,,9," 472. Middendorf^ Geheimrat, in Hellenorm (Livl.) „ 1855 
"
10,1887,NVR,HM,,,10," 752. Petzholdt, Alexander, Dr. Prof. emer., wirkl. Staatsrat, in Freiburg in Baden . . . „ 1881 
"
11,1887,NVR,HM,,,11," 674. Schmidt, 0., Dr. Professor, wirkl. Staatsrat, in Dorpat „ 1870 
"
12,1887,NVR,HM,,,12," 601. Schuwalow, Graf Peter, Generaladjutant „ 1865 
"
13,1887,NVR,HM,,,13," 549. Schweder, G., Staatsr., Gymn.-Direktor . . „ 1887 
"
14,1887,NVR,HM,,,14," 625. Schweinfurtli, G., Dr. phil „ 1872 
"
15,1887,NVR,HM,,,15," 636. Toepler, Aug., Dr. Professor, in Dresden . seit 1868 
"
16,1887,NVR,HM,,,16," 626. Tolstoi, Graf D., wirkl. Geheimrat, Minister, in Petersburg „ 1867 
"
17,1887,NVR,HM,,,17," 627. Trautvetter, Direktor des botanischen Gar­tens, in Petersburg „ 1867 
"
18,1887,NVR,HM,,,18," 506. Vesselofsky, K., Geheimrat, best. Sekretär der Akademie der Wissens., in Petersburg . „ 1870 
"
19,1887,NVR,HM,,,19," Wild, Heinr., Dr., wirkl. Staatsrat, Direktor des Centrai-Observatoriums in Petersburg „ 1885 
"
20,1887,NVR,ConM,,,1," 106. Mercklin, Dr. med., Geheimrat, in Petersburg Stifter seit 1845 
"
21,1887,NVR,ConM,,,2," 616. Hoyningen von Huene in Lechts (Estl.) . . „ 1867 
"
22,1887,NVR,ConM,,,3," 776. Wulf, A. v., Besitzer von Lennewarden (Livland) ,, 1873 
"
23,1887,NVR,ConM,,,4," 867. Löwis ofMenar, Oskar von, in Meiershof (Livl.) „ 1878 
"
24,1887,NVR,ConM,,,5," 878. Rautenfeld, H. v., auf Lindenruh .... „ 1879 
"
25,1887,NVR,OM,HL,IN,1," 933. Ahbel, Joh., Lehrer seit 1884 
"
26,1887,NVR,OM,HL,IN,2," 609. Alienstein, Dr. med „ 1869 
"
27,1887,NVR,OM,HL,IN,3," 877. Th. Alt, Oberlehrer „ 1886 
"
28,1887,NVR,OM,HL,IN,4," 936. Anders, Theod., Oberlehrer „ 1884 
"
29,1887,NVR,OM,HL,IN,5," 3. Angelbeck, Ed., Pharmaceut Stifter „ 1845 
"
30,1887,NVR,OM,HL,IN,6," 923. Back, Direktor der Gewerbeschule.... „ 1882 
"
31,1887,NVR,OM,HL,IN,7," 739. Banken, M., Lehrer „ 1873 
"
32,1887,NVR,OM,HL,IN,8," 786. Barth, E., Schulvorsteher „ 1875 
"
33,1887,NVR,OM,HL,IN,9," 837. Baumann, J., Architekt „ 1876 
"
34,1887,NVR,OM,HL,IN,10," 948. Baumann, Sigismund, Bankier „ 1886 
"
35,1887,NVR,OM,HL,IN,11," 659. Behrmann, Th., Fabrikdirektor ..... „ 1869 
"
36,1887,NVR,OM,HL,IN,12," 880. Beck, A., Dr. phil., Professor „ 1879 
"
37,1887,NVR,OM,HL,IN,13," 902. Berg, Paul, Oand. ehem., Docent am Polytechnikum „ 1881 
"
38,1887,NVR,OM,HL,IN,14," 940. Bergner, Amadeus, Lehrer „ 1885 
"
39,1887,NVR,OM,HL,IN,15," 734. Bermann, P., Lehrer „ 1872 
"
40,1887,NVR,OM,HL,IN,16," 438. Bernhardt, R., Kreisfiskal „ 1853 
"
41,1887,NVR,OM,HL,IN,17," 727. Berteis, A., Dr. phil. „ 1871 
"
42,1887,NVR,OM,HL,IN,18," Berteis, Julius, Fabrikant „ 1884 
"
43,1887,NVR,OM,HL,IN,19," 815. Bockslaff, N., Makler „ 1875 
"
44,1887,NVR,OM,HL,IN,20," 15. Bornhaupt, Dr. phil Stifter „ 1845 
"
45,1887,NVR,OM,HL,IN,21," 624. Bornhaupt, C., Konsulent ,, 1868 
"
46,1887,NVR,OM,HL,IN,22," 771. Braunstein, M., Lehrer „ 1873 
"
47,1887,NVR,OM,HL,IN,23," 951. Bretfeld, Freih. H. v., Dr. Prof. .... „ 1887 
"
48,1887,NVR,OM,HL,IN,24," 897. Bruhns, Ed., Buchhändler seit 1881 
"
49,1887,NVR,OM,HL,IN,25," 647. Buchardt, Th., Apotheker ,, 1868 
"
50,1887,NVR,OM,HL,IN,26," 888. Biingner. Gust., Oberlehrer ,, 1880 
"
51,1887,NVR,OM,HL,IN,27," 22. Buhse, Jak., auf Stubbensee Stifter „ 1845 
"
52,1887,NVR,OM,HL,IN,28," 927. Dettmann, H., Mechaniker ,, 1882 
"
53,1887,NVR,OM,HL,IN,29," 759. Dihrik, A., Dr. med ,, 1873 
"
54,1887,NVR,OM,HL,IN,30," 758. Dohne, Fr., Lehrer „ 1873 
"
55,1887,NVR,OM,HL,IN,31," 829. Donner, L. W., Lehrer „ 1876 
"
56,1887,NVR,OM,HL,IN,32," 597. Dulckeit, J., Zahnarzt „ 1864 
"
57,1887,NVR,OM,HL,IN,33," 33. Eckers, K oll.-Rat Stifter „ 1845 
"
58,1887,NVR,OM,HL,IN,34," 809. Ehrlich, Joh., Kronslandmesser .... ,, 1875 
"
59,1887,NVR,OM,HL,IN,35," 756. Erasmus, W., Apotheker „ 1873 
"
60,1887,NVR,OM,HL,IN,36," 621. Esche, Dr. med „ 1867 
"
61,1887,NVR,OM,HL,IN,37," 801. Felser, Osw., Kaufmann ,, 1875 
"
62,1887,NVR,OM,HL,IN,38," 862. Fleischer, Hugo, Beamter „ 1878 
"
63,1887,NVR,OM,HL,IN,39," 649. Förster, 0., Dr. med., Staatsrat „ 1868 
"
64,1887,NVR,OM,HL,IN,40," 38. Frederking, C. W., Mag. pharm Stifter „ 1845 
"
65,1887,NVR,OM,HL,IN,41," 869. Friedenberg, Lehrer ,, 1878 
"
66,1887,NVR,OM,HL,IN,42," 783. Gerich, E., Kaufmann „ 1874 
"
67,1887,NVR,OM,HL,IN,43," 404. Germann, Th., Advokat „ 1860 
"
68,1887,NVR,OM,HL,IN,44," 623. Gögginger, H., sen., Kunstgärtner .... „ 1867 
"
69,1887,NVR,OM,HL,IN,45," 646. Gögginger, H., jun., „ .... „ 1868 
"
70,1887,NVR,OM,HL,IN,46," 806. Gronberg, Th., Professor „ 1875 
"
71,1887,NVR,OM,HL,IN,47," 884. Grube, Karl, Lehrer „ 1880 
"
72,1887,NVR,OM,HL,IN,48," 399. Gutzeit, W. v., Dr. med. ,, 1850 
"
73,1887,NVR,OM,HL,IN,49," 945. Haacke, Friedr., Lehrer „ 1886 
"
74,1887,NVR,OM,HL,IN,50," 859. Häcker, W. M., Buchdruckereibesitzer . . „ 1877 
"
75,1887,NVR,OM,HL,IN,51," 780. Haensell, A., Oberlehrer ,, 1874 
"
76,1887,NVR,OM,HL,IN,52," 479. Haken, W., Beamter 1856 
"
77,1887,NVR,OM,HL,IN,53," 944. Hafferberg, Rob., Kaufmann ,, 1885 
"
78,1887,NVR,OM,HL,IN,54," 720. Hampeln, P. v., Dr. med ,, 1872 
"
79,1887,NVR,OM,HL,IN,55," 548. Hartmann, Th., Ratsherr ,, 1861 
"
80,1887,NVR,OM,HL,IN,56," 588. Hauffe, O., Kaufmann „ 1863 
"
81,1887,NVR,OM,HL,IN,57," 866. Hellmann, H., Realschuldirektor .... ,, 1878 
"
82,1887,NVR,OM,HL,IN,58," 941. Helms, Karl, Lehrer „ 1885 
"
83,1887,NVR,OM,HL,IN,59," 339. Hernmarck, dim. Bürgermeister „ 1850 
"
84,1887,NVR,OM,HL,IN,60," 613. Hill, A., Veterinärarzt ,, 1866 
"
85,1887,NVR,OM,HL,IN,61," 340. Hill, J., Kaufmann „ 1850 
"
86,1887,NVR,OM,HL,IN,62," 697. Hoff, E., Kunst^ärtner ,, 1870 
"
87,1887,NVR,OM,HL,IN,63," 645. Holst, V., Dr. med „ 1868 
"
88,1887,NVR,OM,HL,IN,64," 908. Jacoby, Georg, Staatsrat „ 1881 
"
89,1887,NVR,OM,HL,IN,65," 921. Jaksch, Rob., Kaufmann ,, 1882 
"
90,1887,NVR,OM,HL,IN,66," 947 Jeftanowitsch, W., Fabrikbesitzer .... ,, 1880 
"
91,1887,NVR,OM,HL,IN,67," 843. Jensen, E , Forstrevident ,, 1878 
"
92,1887,NVR,OM,HL,IN,68," 952. Johanson, Edwin, Mag. pharmac }, 1887 
"
93,1887,NVR,OM,HL,IN,69," 740. Keilmaun, Ph., Dr. med „ 1873 
"
94,1887,NVR,OM,HL,IN,70," 882. Keilmann, Isid., Zahnarzt ,, 1879 
"
95,1887,NVR,OM,HL,IN,71," 538. Kirschfeldt, L., Apotheker seit 1860 
"
96,1887,NVR,OM,HL,IN,72," 449. Klein, E. v., Koll.-Rat „ 1855 
"
97,1887,NVR,OM,HL,IN,73," 889. Knieriem, W., Professor l)r „ 1880 
"
98,1887,NVR,OM,HL,IN,74," 872. Koch, Jul., Beamter „ 1879 
"
